twitter,url,name,location,timezone,country,language,bundle,wait,no_adguard
bucyrustf,https://www.bucyrustelegraphforum.com/,Bucyrus Telegraph Forum,Bucyrus,America/New_York,US,en,ohio|gannett,,
bulwarkonline,https://www.thebulwark.com/,Bulwark,Washington,America/New_York,US,en,us-right-wing,,
burlcotimes,https://www.burlingtoncountytimes.com/,Burlington County Times,Willingboro,America/New_York,US,en,new-jersey|gannett,,
business,https://www.bloomberg.com/,Bloomberg,New York City,America/New_York,US,en,us-national,,
buzzfeednews,https://www.buzzfeednews.com/,Buzzfeed News,New York City,America/New_York,US,en,,,
calcalist,https://www.calcalist.co.il/,Calcalist,Tel Aviv,Asia/Tel_Aviv,IL,he,,,
calgaryherald,https://calgaryherald.com/,Calgary Herald,Calgary,America/Edmonton,CA,en,,,
callerdotcom,https://www.caller.com/,Corpus Christi Caller Times,Corpus Christi,America/Chicago,US,en,texas|gannett,,
calmatters,https://calmatters.org/,Calmatters,Sacramento,America/Los_Angeles,US,en,bay-area|california,,
canopyatl,http://canopyatlanta.org/,Canopy Atlanta,Atlanta,America/New_York,US,en,georgia,,
cantonledger,https://www.cantondailyledger.com/,Canton Daily Ledger,Canton,America/Chicago,US,en,illinois|gannett,,
cantonrepdotcom,https://www.cantonrep.com/,The Canton Repository,Canton,America/New_York,US,en,ohio|gannett,,
capecodtimes,https://www.capecodtimes.com/,Cape Cod Times,Hyannis,America/New_York,US,en,massachusetts|gannett,,
capgaznews,https://www.capitalgazette.com/,Capital Gazette,Annapolis,America/New_York,US,en,maryland,,
capitalandmain,https://capitalandmain.com/,Capital & Main,Los Angeles,America/Los_Angeles,US,en,socal|california,,
capitalb_atl,https://atlanta.capitalbnews.org/,Capital B Atlanta,Atlanta,America/New_York,US,en,georgia,,
capitolnewsil,https://www.capitolnewsillinois.com/,Capitol News Illinois,Springfield,America/Chicago,US,en,,,
cbcnews,https://www.cbc.ca/news,CBC News,Toronto,America/New_York,CA,en,,,
cbnoficial,https://cbn.globoradio.globo.com/,Rádio CBN,Rio de Janeiro,America/Sao_Paulo,BR,pt,,,
cbs46,https://www.cbs46.com,CBS46,Atlanta,America/New_York,US,en,georgia,,
cbs7news,https://www.cbs7.com/,CBS7,Odessa,America/Chicago,US,en,texas,,
cbschicago,https://www.cbsnews.com/chicago/,CBS Chicago,Chicago,America/Chicago,US,en,illinois|chicago,,
cbsnews,https://www.cbsnews.com/,CBS News,New York City,America/New_York,US,en,us-national,,
ccurrentargus,https://www.currentargus.com/,Carlsbad Current-Argus,Carlsbad,America/Denver,US,en,new-mexico|gannett,,
centredaily,http://www.centredaily.com,Centre Daily Times,State College,America/New_York,US,en,pennsylvania|mcclatchy,,
chalkbeat,https://www.chalkbeat.org/,Chalkbeat,New York City,America/New_York,US,en,,,
charlie_hebdo_,https://charliehebdo.fr/,Charlie Hebdo,Paris,Europe/Paris,FR,fr,satire,,
chequeado,https://chequeado.com/,Chequeado,Buenos Aires,America/Buenos_Aires,AR,es,,,
chesbayjournal,https://www.bayjournal.com/,Chesapeake Bay Journal,Mayo,America/New_York,US,en,,,
chess24com,https://chess24.com/en/read/news,chess24,Hamburg,Europe/Berlin,DE,de,chess,,
chessbase,https://en.chessbase.com/,ChessBase,Hamburg,Europe/Berlin,DE,en,chess,,
chesscom,https://www.chess.com/news,Chess.com,San Francisco,America/Los_Angeles,US,en,chess,,
chicago_reader,https://chicagoreader.com/,Chicago Reader,Chicago,America/Chicago,US,en,illinois|chicago,,
chicagoreporter,https://www.chicagoreporter.com/,Chicago Reporter,Chicago,America/Chicago,US,en,illinois|chicago,,
chicagotribune,https://www.chicagotribune.com/,Chicago Tribune,Chicago,America/Chicago,US,en,illinois|chicago,,
chieftainnews,https://www.chieftain.com/,The Pueblo Chieftain,Pueblo,America/Denver,US,en,colorado|gannett,,
chilligaz,https://www.chillicothegazette.com/,Chillicothe Gazette,Chillicothe,America/New_York,US,en,ohio|gannett,,
chinatimes,https://www.chinatimes.com/,China Times,Taipei City,Asia/Taipei,TW,zh,,,
chunichi_denhen,https://www.chunichi.co.jp/,Chunichi Shimbun,Nagoya,Asia/Tokyo,JP,ja,,,
ciceronoticias,https://www.ciceroindependiente.com/,Cicero Independiente,Cicero,America/Chicago,US,en,illinois|chicago,,
cityandstateny,https://www.cityandstateny.com/,City & State New York,New York City,America/New_York,US,en,new-york-city|new-york-state,,
cityjournal,https://www.city-journal.org/,City Journal,New York City,America/New_York,US,en,us-right-wing,,
citylimitsnews,http://www.citylimits.org/,City Limits,New York City,America/New_York,US,en,new-york-city|new-york-state,,
civic_lex,https://civiclex.org/,CivicLex,Lexington,America/New_York,US,en,,,
civilbeat,https://www.civilbeat.org/,Honolulu Civil Beat,Honolulu,US/Hawaii,US,en,hawaii,10000,
civio,https://civio.es/,Civio,Madrid,Europe/Madrid,ES,es,,,
cjonline,https://www.cjonline.com/,The Topeka Capital-Journal,Topeka,America/Chicago,US,en,kansas|gannett,,
cjr,https://www.cjr.org/,Columbia Journalism Review,New York City,America/New_York,US,en,,,
clarincom,https://www.clarin.com/,Clarín,Buenos Aires,America/Buenos_Aires,AR,es,,,
clarionledger,https://www.clarionledger.com/,Clarion Ledger,Jackson,America/New_York,US,en,mississippi|gannett,,
claytoncrescent,https://claytoncrescent.org/,Clayton Crescent,Jonesboro,America/New_York,US,en,,,
cnbc,https://www.cnbc.com/,CNBC,New York City,America/New_York,US,en,,,
cnet,https://www.cnet.com/,CNET,San Francisco,America/Los_Angeles,US,en,tech,,
cnn,https://www.cnn.com/,CNN,Atlanta,US/Eastern,US,en,us-national,,
cnnbrasil,https://www.cnnbrasil.com.br/,CNN Brasil,São Paulo,America/Sao_Paulo,BR,pt,,,
cnsmd,https://cnsmaryland.org/,Capital News Service,College Park,America/New_York,US,en,maryland,,
codaily,https://centraloregondaily.com/,Central Oregon Daily,Bend,America/Los_Angeles,US,en,oregon,,
coindesk,https://www.coindesk.com/,CoinDesk,New York City,America/New_York,US,en,tech,,
colabnewsco,https://colabnews.co/,Colorado News Collaborative,Denver,America/Denver,US,en,colorado,,
coloradoan,https://www.coloradoan.com/,Fort Collins Coloradoan,Fort Collins,America/Denver,US,en,colorado|gannett,,
coloradosun,https://coloradosun.com/,Colorado Sun,Denver,America/Denver,US,en,colorado,,
columbiatribune,https://www.columbiatribune.com/,Columbia Daily Tribune,Columbia,America/Chicago,US,en,missouri|gannett,,
comissourian,https://www.columbiamissourian.com/,Columbia Missourian,Columbia,America/Chicago,US,en,missouri,,
commondreams,https://www.commondreams.org/,Common Dreams,Maine,America/New_York,US,en,us-left-wing,,
connpost,https://www.ctpost.com/,Connecticut Post,Bridgeport,America/New_York,US,en,connecticut,,
conversationus,https://theconversation.com/us,Conversation U.S.,Waltham,America/New_York,US,en,,,
cookpolitical,https://www.cookpolitical.com/,Cook Political Report,Washington,America/New_York,US,en,capitol-hill,,
correio,https://www.correiobraziliense.com.br/,Correio Braziliense,Brasília,America/Sao_Paulo,BR,pt,,,
corriere,https://www.corriere.it/,Corriere della Sera,Milano,Europe/Berlin,IT,it,,,
coshtribune,https://www.coshoctontribune.com/,Coshocton Tribune,Coshocton,America/New_York,US,en,ohio|gannett,,
courier_tribune,https://www.courier-tribune.com/,The Courier-Tribune,Asheboro,America/New_York,US,en,north-carolina|gannett,,
courierjournal,https://www.courier-journal.com/,Louisville Courier-Journal,Louisville,America/New_York,US,en,kentucky|gannett,,
courierpress,https://www.courierpress.com/,Evansville Courier & Press,Evansville,America/Chicago,US,en,indiana|gannett|illinois|gannett,,
couriertimes,https://www.buckscountycouriertimes.com/,Bucks County Courier Times,Levittown,America/New_York,US,en,pennsylvania|gannett,,
cpipr,https://periodismoinvestigativo.com/,Centro de Periodismo Investigativo,San Juan,America/New_York,US,es,,,
cprnews,https://www.cpr.org/,Colorado Public Radio,Centennial,America/Denver,US,en,colorado,,
cpsj,https://www.courierpostonline.com/,Cherry Hill Courier Post,Cherry Hill,America/New_York,US,en,new-jersey|gannett,,
cpublicpress,https://carolinapublicpress.org/,Carolina Public Press,Asheville,America/New_York,US,en,north-carolina,,
cqnow,https://info.cq.com/,CQ,Washington,America/New_York,US,en,capitol-hill,,
crikey_news,https://www.crikey.com.au/,Crikey,Melbourne,Australia/Melbourne,AU,en,,,
cronica,https://www.cronica.com.ar/,Crónica,Buenos Aires,America/Buenos_Aires,AR,es,,,
cronistacom,https://www.cronista.com/,Cronista,Buenos Aires,America/Buenos_Aires,AR,es,,,
crucessunnews,https://www.lcsun-news.com/,Las Cruces Sun News,Las Cruces,America/Denver,US,en,new-mexico|gannett,,
csgazette,https://gazette.com/,Colorado Springs Gazette,Colorado Springs,America/Denver,US,en,colorado,,
cstribune,https://trib.com/,Casper Star-Tribune,Casper,America/Denver,US,en,wyoming,,
ctmagazine,https://www.christianitytoday.com/,Christianity Today,Carol Stream,America/Chicago,US,en,,,
ctmirror,https://ctmirror.org/,Connecticut Mirror,Hartford,America/New_York,US,en,connecticut,,
ctvnews,https://www.ctvnews.ca/,CTV News,Toronto,America/New_York,CA,en,,,
cuestion_p,https://cuestionpublica.com/,Cuestion Publica,Bogatá,America/Bogota,CO,es,,,
curbed,https://www.curbed.com/,Curbed,New York City,America/New_York,US,en,,,
dagbladet,https://www.dagbladet.no/,Dagbladet,Oslo,Europe/Oslo,NO,no,,,
dagsavisen,https://www.dagsavisen.no/,Dagsavisen,Oslo,Europe/Oslo,NO,no,,,
daily_record,https://www.dailyrecord.co.uk/,Daily Record,Glasgow,Europe/London,GB,en,,,
dailyamerican,https://www.dailyamerican.com/,Daily American,Somerset,America/New_York,US,en,pennsylvania|gannett,,
dailycaller,https://dailycaller.com/,Daily Caller,Washington,America/New_York,US,en,us-right-wing,,
dailycamera,https://www.dailycamera.com/,Daily Camera,Boulder,America/Denver,US,en,colorado,,
dailycomet,https://www.dailycomet.com/,Daily Comet,Thibodaux,America/Chicago,US,en,louisiana|gannett,,
dailycommercial,https://www.dailycommercial.com/,Leesburg Daily Commercial,Leesburg,America/New_York,US,en,florida|gannett,,
dailyecho,https://www.dailyecho.co.uk/,Daily Echo,Southampton,Europe/London,GB,en,,,
dailyherald,https://www.dailyherald.com/,Daily Herald,Arlington,America/Chicago,US,en,illinois|chicago,,
dailyjeff,https://www.daily-jeff.com/,The Daily Jeffersonian,Cambridge,America/New_York,US,en,ohio|gannett,,
dailykos,https://www.dailykos.com/,Daily Kos,Washington,America/New_York,US,en,us-left-wing,,
dailymaverick,https://www.dailymaverick.co.za/,Daily Maverick,Johannesburg,Africa/Johannesburg,ZA,en,,,
dailymirror,https://www.mirror.co.uk/,Daily Mirror,London,Europe/London,GB,en,,,
dailyneb,https://www.dailynebraskan.com/,Daily Nebraskan,Lincoln,America/Chicago,US,en,nebraska|student,,
dailypenn,https://www.thedp.com/,Daily Penn,Philadelphia,America/New_York,US,en,pennsylvania|philadelphia|student,,
dailyrecord,https://www.dailyrecord.com/,Parsippany Daily Record,Morristown,America/New_York,US,en,new-jersey|gannett,,
dailysunsa,https://www.snl24.com/dailysun,Daily Sun,SunLand,Africa/Johannesburg,ZA,en,,,
dailytarheel,https://www.dailytarheel.com,Daily Tarheel,Chapel Hill,America/New_York,US,en,north-carolina,,
dailyyonder,https://www.dailyyonder.com/,Daily Yonder,Whitesburg,America/New_York,US,en,,,
dainik_online,https://www.dainikonline.com/,Danik Online,Kathmandu,Asia/Kathmandu,NP,ne,,,
dainikbhaskar,https://www.bhaskar.com/,Dainik Bhaskar,Bhopal,Asia/Kolkata,IN,hi,,,
dallasbiznews,https://www.bizjournals.com/dallas/,Dallas Business Journal,Dallas,America/Chicago,US,en,texas,,
dallasconews,https://www.adelnews.com/,Dallas County News,Adel,America/Chicago,US,en,iowa|gannett,,
dallasfreepress,https://www.dallasfreepress.com/,Dallas Free Press,Dallas,America/Chicago,US,en,texas,,
dallasnews,https://www.dallasnews.com/,Dallas Morning News,Dallas,America/Chicago,US,en,texas,,
dandc,https://www.democratandchronicle.com/,Rochester Democrat and Chronicle,Rochester,America/New_York,US,en,new-york-state|gannett,,
dbnewsjournal,https://www.news-journalonline.com/,The Daytona Beach News-Journal,Daytona Beach,America/New_York,US,en,florida|gannett,,
dcexaminer,https://www.washingtonexaminer.com/,Washington Examiner,Washington,America/New_York,US,en,us-right-wing,,
