name,type,n,percent
Israelis,NORP,3,0.0005287275290800141
Italian,NORP,7,0.0012336975678533663
Italy,GPE,14,0.0024673951357067326
Ivanka,PRODUCT,1,0.00017624250969333803
Ivermectin,PERSON,1,0.00017624250969333803
Izium,GPE,1,0.00017624250969333803
J.D.,GPE,1,0.00017624250969333803
J.K. Rowling Receives Threat: ',ORG,1,0.00017624250969333803
JAN 6,DATE,1,0.00017624250969333803
JAN 6 SUBPOENAS TRUMP,ORG,2,0.00035248501938667606
JANE FONDA DIAGNOSED,PERSON,1,0.00017624250969333803
JERRY LEE LEWIS,PERSON,1,0.00017624250969333803
JESSE WATTERS,PERSON,1,0.00017624250969333803
JEWS,NORP,1,0.00017624250969333803
JFK,PERSON,2,0.00035248501938667606
JILL HAS COVID,ORG,1,0.00017624250969333803
JOAN COLLINS,PERSON,1,0.00017624250969333803
JPMORGAN,ORG,1,0.00017624250969333803
JPMORGAN Cut,PERSON,1,0.00017624250969333803
JULY,DATE,1,0.00017624250969333803
Jackson,PERSON,1,0.00017624250969333803
Jacksonville,GPE,1,0.00017624250969333803
James Cameron,PERSON,1,0.00017624250969333803
James Madison,PERSON,1,0.00017624250969333803
Jamie Dimon,PERSON,1,0.00017624250969333803
Jan 10,DATE,1,0.00017624250969333803
Jan 6,DATE,4,0.0007049700387733521
Jan. 6,DATE,19,0.0033486076841734227
Jan. 6 ',DATE,1,0.00017624250969333803
Jane,PERSON,1,0.00017624250969333803
Jane Doe,PERSON,2,0.00035248501938667606
January,DATE,1,0.00017624250969333803
January 6,DATE,1,0.00017624250969333803
Japan,GPE,7,0.0012336975678533663
Japanese,NORP,2,0.00035248501938667606
Jared,PERSON,1,0.00017624250969333803
Jason Aldean,PERSON,1,0.00017624250969333803
Jean-Luc Godard Dead,PERSON,1,0.00017624250969333803
Jeffrey Epstein,PERSON,1,0.00017624250969333803
Jehovah,ORG,1,0.00017624250969333803
Jenga Building',PERSON,1,0.00017624250969333803
Jennifer Newsom,PERSON,1,0.00017624250969333803
Jeopardy,GPE,1,0.00017624250969333803
Jerry Falwell,PERSON,1,0.00017624250969333803
Jerry Lee Lewis Not Dead Hoax,PERSON,1,0.00017624250969333803
Jersey Shore,PERSON,1,0.00017624250969333803
Jerusalem,GPE,4,0.0007049700387733521
Jesus Christ,PERSON,1,0.00017624250969333803
Jets,PERSON,1,0.00017624250969333803
Jewish,NORP,11,0.0019386676066267183
Jewish School Set Off Outcry Over Antisemitic Signaling,ORG,1,0.00017624250969333803
Jewish-Free Zones,ORG,1,0.00017624250969333803
Jews,NORP,6,0.0010574550581600281
Jews Will,WORK_OF_ART,1,0.00017624250969333803
Jill Biden,PERSON,1,0.00017624250969333803
Jimmy Iovine,PERSON,1,0.00017624250969333803
Joe,PERSON,4,0.0007049700387733521
Joe Back,PERSON,1,0.00017624250969333803
Joe Rogan,PERSON,1,0.00017624250969333803
John Bolton,PERSON,1,0.00017624250969333803
John Kerry's,PERSON,1,0.00017624250969333803
Join Shanghai Cooperation Organization,ORG,1,0.00017624250969333803
Jolie,PERSON,2,0.00035248501938667606
Jordan,PERSON,1,0.00017624250969333803
Juarez,GPE,1,0.00017624250969333803
July,DATE,1,0.00017624250969333803
June,DATE,1,0.00017624250969333803
Jupiter,LOC,1,0.00017624250969333803
Just 1/3,CARDINAL,1,0.00017624250969333803
Just 20%,PERCENT,1,0.00017624250969333803
Just One Drug to Treat Monkeypox,ORG,1,0.00017624250969333803
Just miles,QUANTITY,1,0.00017624250969333803
Justice,ORG,1,0.00017624250969333803
Justice Dept,ORG,3,0.0005287275290800141
Justice Dept Investigates Southern Baptist Convention,ORG,1,0.00017624250969333803
K-3,PRODUCT,1,0.00017624250969333803
KEN,PERSON,1,0.00017624250969333803
KISSINGER,ORG,1,0.00017624250969333803
KS Republicans,NORP,1,0.00017624250969333803
Kabul,GPE,1,0.00017624250969333803
Kamala,GPE,5,0.0008812125484666902
Kangaroo Kills Owner,PERSON,1,0.00017624250969333803
Kansas,GPE,2,0.00035248501938667606
Kanye,GPE,8,0.0014099400775467042
Kanye Dons ',ORG,1,0.00017624250969333803
Kanye Escalates,ORG,1,0.00017624250969333803
Kanye West,GPE,1,0.00017624250969333803
Kanye West,ORG,1,0.00017624250969333803
Kardashian,PERSON,1,0.00017624250969333803
Kardashian Latest Venture,ORG,1,0.00017624250969333803
Kari Lake,FAC,1,0.00017624250969333803
Kari Lake,LOC,3,0.0005287275290800141
Kari Lake,ORG,1,0.00017624250969333803
Kari Lake,PERSON,1,0.00017624250969333803
Kari Lake Airs an,ORG,1,0.00017624250969333803
Kari Lake Endorses Candidate Who Boasted ',ORG,1,0.00017624250969333803
Kari Lake Unites Many,ORG,1,0.00017624250969333803
Kari Lake Wants You to Know She Thinks Trump,WORK_OF_ART,1,0.00017624250969333803
Kate,PERSON,2,0.00035248501938667606
Katzenberg Predicts Biden,PERSON,1,0.00017624250969333803
Kay,PERSON,1,0.00017624250969333803
Kazakhstan,GPE,1,0.00017624250969333803
Kemp,PERSON,1,0.00017624250969333803
Ken Griffin,PERSON,1,0.00017624250969333803
Kentucky,GPE,1,0.00017624250969333803
Kerik Predicts Trump Assassination,ORG,1,0.00017624250969333803
Ketamine 'Reduces Depression,ORG,1,0.00017624250969333803
Kevin Spacey,PERSON,1,0.00017624250969333803
Key Gauge of Activity Paints Picture of Weakness,ORG,1,0.00017624250969333803
Kharkiv,PERSON,2,0.00035248501938667606
Khrushchev,PERSON,1,0.00017624250969333803
Kill Civilians,PERSON,1,0.00017624250969333803
Kill Deserters,PERSON,1,0.00017624250969333803
"Kill, Dismember",ORG,1,0.00017624250969333803
Killing,GPE,1,0.00017624250969333803
Killing Turned Brooklyn Progressives Against One,ORG,1,0.00017624250969333803
Kim,PERSON,4,0.0007049700387733521
Kim Jong Un's,PERSON,1,0.00017624250969333803
Kim Jong-un,PERSON,1,0.00017624250969333803
Kim Launches,PERSON,1,0.00017624250969333803
King Charles,PERSON,1,0.00017624250969333803
King Charles',ORG,1,0.00017624250969333803
Kingdom,GPE,1,0.00017624250969333803
Kirchner,PERSON,3,0.0005287275290800141
Kissinger,PERSON,1,0.00017624250969333803
Klansman,ORG,1,0.00017624250969333803
Knifeman,ORG,1,0.00017624250969333803
Kremlin,ORG,15,0.0026436376454000705
Kremlin Begs Rich,ORG,1,0.00017624250969333803
Kremlin Faces Rising,ORG,1,0.00017624250969333803
Kremlin Finds Partner,ORG,1,0.00017624250969333803
Kremlin Launches Missile,PERSON,1,0.00017624250969333803
Kremlin Mercenaries Seek Gold,ORG,1,0.00017624250969333803
Kremlin War Effort,ORG,1,0.00017624250969333803
Kremlin Whips,PERSON,1,0.00017624250969333803
Kubrick,GPE,1,0.00017624250969333803
Kurdish,NORP,1,0.00017624250969333803
Kushner,ORG,1,0.00017624250969333803
L.A.,GPE,2,0.00035248501938667606
L.A. City Council,ORG,1,0.00017624250969333803
L.A. News Anchor Fired After Going Rogue,ORG,1,0.00017624250969333803
LA,GPE,23,0.0040535777229467745
LA City Council,ORG,1,0.00017624250969333803
LA City Hall,GPE,1,0.00017624250969333803
LA PORCH,ORG,1,0.00017624250969333803
LA Unified,ORG,1,0.00017624250969333803
LAPD,ORG,1,0.00017624250969333803
LARS VON TRIER,PERSON,1,0.00017624250969333803
LAST SEASON,DATE,2,0.00035248501938667606
LAST WEEKEND,DATE,1,0.00017624250969333803
LAUGHS,PERSON,1,0.00017624250969333803
LEA MICHELE'S ',PERSON,1,0.00017624250969333803
LEAKED,ORG,1,0.00017624250969333803
LEGEND SHAW,PRODUCT,1,0.00017624250969333803
LEGOLAND,ORG,1,0.00017624250969333803
LGBTQ,ORG,1,0.00017624250969333803
LGBTQ,PERSON,10,0.0017624250969333803
LINCOLN PROJECT',ORG,1,0.00017624250969333803
LIONS,ORG,1,0.00017624250969333803
LIV,ORG,1,0.00017624250969333803
LIZ TRUST,ORG,1,0.00017624250969333803
LONDON,GPE,2,0.00035248501938667606
LOVE LETTERS,ORG,1,0.00017624250969333803
LaBeouf,ORG,2,0.00035248501938667606
LaBeouf Role,PRODUCT,1,0.00017624250969333803
Labor Day,EVENT,1,0.00017624250969333803
Labor Day Sets Up Showdowns,EVENT,1,0.00017624250969333803
Labor Day weekend,DATE,1,0.00017624250969333803
Lachlan Murdoch,PERSON,1,0.00017624250969333803
Lake Powell,PERSON,1,0.00017624250969333803
Landmark,GPE,1,0.00017624250969333803
Landmark Supreme Court,ORG,1,0.00017624250969333803
Langya,ORG,1,0.00017624250969333803
Lara Logan,PRODUCT,1,0.00017624250969333803
Larry Page Flying-Car,PERSON,1,0.00017624250969333803
Larry Summers,PERSON,2,0.00035248501938667606
Lars von Trier Back,PERSON,1,0.00017624250969333803
Las Vegas,GPE,1,0.00017624250969333803
Last Days,DATE,1,0.00017624250969333803
Last Great Gossip,FAC,1,0.00017624250969333803
Last Month,DATE,1,0.00017624250969333803
Last Pillar of,PRODUCT,1,0.00017624250969333803
Last Year,DATE,1,0.00017624250969333803
Late Last Year,DATE,1,0.00017624250969333803
Latin America,LOC,2,0.00035248501938667606
Launch Assault Craft,ORG,1,0.00017624250969333803
Lauren Boebert,PERSON,1,0.00017624250969333803
Lavrov,ORG,1,0.00017624250969333803
Lawsuit,GPE,1,0.00017624250969333803
Layoffs,PERSON,2,0.00035248501938667606
LeBron,PERSON,1,0.00017624250969333803
LeBron James,PERSON,1,0.00017624250969333803
Lebanese,NORP,2,0.00035248501938667606
Lebanon,GPE,2,0.00035248501938667606
Led Weisselberg,PERSON,1,0.00017624250969333803
Left,PRODUCT,1,0.00017624250969333803
Lemon Expected,PERSON,1,0.00017624250969333803
Lemon Fights Back Tears,ORG,1,0.00017624250969333803
Leonard Leo Pushed Courts,PERSON,1,0.00017624250969333803
Less than 2%,PERCENT,1,0.00017624250969333803
Less than half,CARDINAL,2,0.00035248501938667606
Leto To Star,PERSON,1,0.00017624250969333803
Lewandowski,PERSON,1,0.00017624250969333803
Libertarian,NORP,1,0.00017624250969333803
Librarian,NORP,1,0.00017624250969333803
Library Loses,PERSON,1,0.00017624250969333803
Licht,GPE,4,0.0007049700387733521
Lightfoot,PERSON,1,0.00017624250969333803
Likely Cheated',WORK_OF_ART,1,0.00017624250969333803
Likened,ORG,1,0.00017624250969333803
Limit,ORG,1,0.00017624250969333803
Limited,PERSON,1,0.00017624250969333803
Limitless Energy,ORG,1,0.00017624250969333803
Lincoln Center Optimistic,ORG,1,0.00017624250969333803
Lindell,ORG,1,0.00017624250969333803
Lindsey Graham,PERSON,2,0.00035248501938667606
Lindsey Graham Sexuality,PERSON,1,0.00017624250969333803
Lis Smith Radical Idea,PERSON,1,0.00017624250969333803
Lithuania,GPE,1,0.00017624250969333803
Live Atop World's,ORG,1,0.00017624250969333803
Liz,PERSON,1,0.00017624250969333803
Liz Cheney,PERSON,3,0.0005287275290800141
Liz Truss,PERSON,1,0.00017624250969333803
Liz Truss',ORG,1,0.00017624250969333803
Lizzo,PERSON,1,0.00017624250969333803
Local Prosecutor Takes,PERSON,1,0.00017624250969333803
"Lockdown, Fear and Unrest Sweep iPhone Factory",ORG,1,0.00017624250969333803
London,GPE,6,0.0010574550581600281
Long Corona,ORG,1,0.00017624250969333803
Long March,DATE,1,0.00017624250969333803
Longtime Entertainment Journalist,ORG,1,0.00017624250969333803
Loretta Lynn,PERSON,1,0.00017624250969333803
Lorne Michaels,PERSON,1,0.00017624250969333803
Los Angeles,GPE,1,0.00017624250969333803
Losses,PRODUCT,1,0.00017624250969333803
Lost Luggage,GPE,1,0.00017624250969333803
Louisiana,GPE,3,0.0005287275290800141
Love Alter Ego,ORG,1,0.00017624250969333803
Love Hormone,WORK_OF_ART,1,0.00017624250969333803
Lower Manhattan,LOC,1,0.00017624250969333803
LuPone,ORG,1,0.00017624250969333803
Lucianne Goldberg Dead,PERSON,1,0.00017624250969333803
Luggage AWOL,PERSON,1,0.00017624250969333803
Lula,PERSON,4,0.0007049700387733521
Lula Back,PERSON,1,0.00017624250969333803
Lunar,PERSON,1,0.00017624250969333803
Lures,GPE,1,0.00017624250969333803
Luxury,PERSON,1,0.00017624250969333803
Luxury Bus,PERSON,1,0.00017624250969333803
Luxury-Auto Market Booms,ORG,1,0.00017624250969333803
MAG,ORG,12,0.0021149101163200562
MAGA,ORG,28,0.004934790271413465
MAGA MANIAC SHOT DEAD IN,PERSON,1,0.00017624250969333803
MAGA Maniac,PERSON,1,0.00017624250969333803
MAGIC JOHNSON EYES VEGAS,ORG,1,0.00017624250969333803
MANCHESTER,ORG,1,0.00017624250969333803
MANCHESTER UNITED',ORG,1,0.00017624250969333803
MAP,ORG,2,0.00035248501938667606
MAR,ORG,1,0.00017624250969333803
MARTHA'S VINEYARD DEPORTS TO CAPE,ORG,1,0.00017624250969333803
MAX,ORG,1,0.00017624250969333803
MAY,CARDINAL,1,0.00017624250969333803
MBS,ORG,1,0.00017624250969333803
MCCONELL ISSUES S.O.S,ORG,1,0.00017624250969333803
MCDONALD'S,ORG,3,0.0005287275290800141
MELONI,NORP,2,0.00035248501938667606
MELVIN,ORG,1,0.00017624250969333803
MENU,ORG,1,0.00017624250969333803
META,ORG,5,0.0008812125484666902
META PARIS,ORG,1,0.00017624250969333803
MIA,ORG,1,0.00017624250969333803
MICROSOFT,ORG,1,0.00017624250969333803
MICROSOFT Army Goggles Left Soldiers With Nausea,ORG,1,0.00017624250969333803
MILLIONS WITHOUT POWER,ORG,1,0.00017624250969333803
MLB,ORG,3,0.0005287275290800141
MOBILIZES,ORG,1,0.00017624250969333803
MONTHS,DATE,2,0.00035248501938667606
MORGAN STANLEY,ORG,1,0.00017624250969333803
MOZILLA,ORG,1,0.00017624250969333803
MPH,ORG,1,0.00017624250969333803
MS,GPE,1,0.00017624250969333803
MSNBC,ORG,2,0.00035248501938667606
MYSTERY WAVE BEFORE BLAST,ORG,1,0.00017624250969333803
MacKenzie Scott,ORG,1,0.00017624250969333803
Macau,GPE,1,0.00017624250969333803
Macron,PERSON,4,0.0007049700387733521
Made,NORP,1,0.00017624250969333803
Mag 5.1,LAW,1,0.00017624250969333803
Magic,PRODUCT,1,0.00017624250969333803
Maine,GPE,1,0.00017624250969333803
Major Anti-Abortion Group,ORG,1,0.00017624250969333803
Malibu Mansion Sells,ORG,1,0.00017624250969333803
Manhattan,GPE,6,0.0010574550581600281
Manifesto of Grievances',ORG,1,0.00017624250969333803
Mar,PERSON,4,0.0007049700387733521
Maren Morris,PERSON,1,0.00017624250969333803
Maria Callas,PERSON,1,0.00017624250969333803
Marijuana,ORG,1,0.00017624250969333803
Marijuana,PERSON,2,0.00035248501938667606
Marijuana Pardon,PERSON,1,0.00017624250969333803
Marilyn Monroe,PERSON,3,0.0005287275290800141
Marines,NORP,1,0.00017624250969333803
Marjorie Taylor Greene,PERSON,3,0.0005287275290800141
Markle,ORG,1,0.00017624250969333803
Mars,LOC,3,0.0005287275290800141
Mars,PRODUCT,1,0.00017624250969333803
Marshall Islands,ORG,1,0.00017624250969333803
Martha,PERSON,4,0.0007049700387733521
Martian,NORP,2,0.00035248501938667606
Martin,PERSON,1,0.00017624250969333803
Martin Hits Extorting Nephew,PERSON,1,0.00017624250969333803
Mary Shows Putin More,PERSON,1,0.00017624250969333803
Mass Amphibious Invasion Drill,FAC,1,0.00017624250969333803
Mass.,GPE,1,0.00017624250969333803
Masterson Rape Case,PERSON,1,0.00017624250969333803
Masterson Trial Shaken,PERSON,1,0.00017624250969333803
Mastriano,ORG,8,0.0014099400775467042
Mastriano Sputtering Campaign,ORG,1,0.00017624250969333803
Mastriano's Attacks,ORG,1,0.00017624250969333803
Maxwell Frost,ORG,2,0.00035248501938667606
May Sue,DATE,1,0.00017624250969333803
McCarthy,PERSON,3,0.0005287275290800141
McCarthy Fraught Path,PERSON,1,0.00017624250969333803
McConnell,ORG,1,0.00017624250969333803
McConnell,PERSON,8,0.0014099400775467042
McConnell in Sign of Dimming Hopes,FAC,1,0.00017624250969333803
McMullin,PERSON,1,0.00017624250969333803
MeToo,PERSON,2,0.00035248501938667606
MeToo 5 Years Later: No One's,ORG,1,0.00017624250969333803
Meadows,ORG,1,0.00017624250969333803
Measure to Raise Taxes,WORK_OF_ART,1,0.00017624250969333803
Medellin,GPE,1,0.00017624250969333803
Medellín,GPE,1,0.00017624250969333803
Media Empire,ORG,1,0.00017624250969333803
Media Men',ORG,1,0.00017624250969333803
Meet Army of Robots Coming to Fill In for,ORG,1,0.00017624250969333803
Meet Cassie,ORG,1,0.00017624250969333803
Megan Thee Stallion,ORG,1,0.00017624250969333803
Meghan,PERSON,5,0.0008812125484666902
Meghan Return,PERSON,1,0.00017624250969333803
Melania,GPE,1,0.00017624250969333803
Melissa Francis,PERSON,1,0.00017624250969333803
Meloni,NORP,3,0.0005287275290800141
Meloni,PERSON,3,0.0005287275290800141
Memoir Postponed Until,ORG,1,0.00017624250969333803
Menendez,PERSON,1,0.00017624250969333803
Metaverse,PRODUCT,1,0.00017624250969333803
Meteor,PERSON,1,0.00017624250969333803
Mexican,NORP,2,0.00035248501938667606
Mexicans,NORP,1,0.00017624250969333803
Mexico,GPE,21,0.0037010927035600986
Mexico City,GPE,1,0.00017624250969333803
Mexico Drug Gangs Target Civilians,ORG,1,0.00017624250969333803
Miami,GPE,6,0.0010574550581600281
Michael Cohen,PERSON,1,0.00017624250969333803
Michael Flynn,PERSON,2,0.00035248501938667606
Michigan,GPE,8,0.0014099400775467042
Michigan AG,ORG,1,0.00017624250969333803
Mickey Mantle,PERSON,1,0.00017624250969333803
Middle America,LOC,1,0.00017624250969333803
Mideast,LOC,1,0.00017624250969333803
Migrants,PRODUCT,1,0.00017624250969333803
Mike Lee,PERSON,1,0.00017624250969333803
Mike Lee Mocked,PERSON,1,0.00017624250969333803
Miller,ORG,1,0.00017624250969333803
Million,CARDINAL,1,0.00017624250969333803
Million-Dollar,MONEY,1,0.00017624250969333803
Million-dollar,MONEY,1,0.00017624250969333803
Millions,ORG,1,0.00017624250969333803
Minnesota,GPE,3,0.0005287275290800141
Mississippi,GPE,6,0.0010574550581600281
Mississippi,LOC,1,0.00017624250969333803
Mississippi River,LOC,1,0.00017624250969333803
Missouri,GPE,3,0.0005287275290800141
Monday,DATE,3,0.0005287275290800141
Money,WORK_OF_ART,1,0.00017624250969333803
Monkeypox,ORG,4,0.0007049700387733521
Monkeypox Antiviral Began,ORG,1,0.00017624250969333803
Monkeypox Outbreak,ORG,1,0.00017624250969333803
Montana,GPE,1,0.00017624250969333803
Months,DATE,1,0.00017624250969333803
Moon,PERSON,2,0.00035248501938667606
More Than 100,CARDINAL,1,0.00017624250969333803
More Than 20 Years,DATE,1,0.00017624250969333803
More Than 300,CARDINAL,1,0.00017624250969333803
More Than Third,CARDINAL,1,0.00017624250969333803
Mormons,ORG,2,0.00035248501938667606
Moscow,GPE,29,0.005111032781106803
Moscow Fair,FAC,1,0.00017624250969333803
Mossad,ORG,1,0.00017624250969333803
Mother Theresa',ORG,1,0.00017624250969333803
Mothers Heroine',WORK_OF_ART,1,0.00017624250969333803
Mourner Busted for Allegedly Exposing Himself,ORG,1,0.00017624250969333803
Mueller,ORG,1,0.00017624250969333803
"Murder, Street Gangs",ORG,1,0.00017624250969333803
Murdoch Explores,PERSON,1,0.00017624250969333803
Museum of Future,ORG,1,0.00017624250969333803
"Mushrooms Growing on Publishing, Fashion",ORG,1,0.00017624250969333803
Music,GPE,1,0.00017624250969333803
Musk,PERSON,4,0.0007049700387733521
Musk Biggest Boondoggle,PERSON,1,0.00017624250969333803
Musk Case Known for,PERSON,1,0.00017624250969333803
Musk Set,PERSON,1,0.00017624250969333803
Muslim,NORP,5,0.0008812125484666902
Muslim Americans,NORP,1,0.00017624250969333803
Muslims,NORP,3,0.0005287275290800141
Mussolini,PERSON,3,0.0005287275290800141
NANCY,ORG,1,0.00017624250969333803
NAPOLITANO,ORG,1,0.00017624250969333803
NASA,ORG,18,0.003172365174480085
NASA Needs,ORG,1,0.00017624250969333803
NASAL COVID SPRAY FAILS,ORG,1,0.00017624250969333803
NASTY,ORG,1,0.00017624250969333803
NATIONAL GUARD,ORG,1,0.00017624250969333803
NATIONALIST,ORG,1,0.00017624250969333803
NATO,ORG,8,0.0014099400775467042
NATO NUKE DETERRENT EXERCISES,ORG,1,0.00017624250969333803
NATURE,ORG,1,0.00017624250969333803
NAZIS,ORG,1,0.00017624250969333803
NBA,ORG,2,0.00035248501938667606
NBC,ORG,3,0.0005287275290800141
NC,GPE,5,0.0008812125484666902
NC-17,CARDINAL,1,0.00017624250969333803
NC-VA,ORG,1,0.00017624250969333803
NDakota,ORG,1,0.00017624250969333803
NETFLIX,ORG,13,0.0022911526260133946
NETFLIX Cutting Payments for Comedy Specials,ORG,1,0.00017624250969333803
NETFLIX Drama ',ORG,1,0.00017624250969333803
NEW YORK POST Fires Rogue,ORG,1,0.00017624250969333803
NEWS CORP RISING,ORG,1,0.00017624250969333803
NEWSMAX,ORG,1,0.00017624250969333803
NEWSROOM,ORG,1,0.00017624250969333803
NEXT PM,TIME,1,0.00017624250969333803
NEXT YEAR,DATE,1,0.00017624250969333803
NFL,ORG,13,0.0022911526260133946
NFL EYES PUTTING MULTIPLE TEAMS,ORG,1,0.00017624250969333803
NFL Latest Target,ORG,1,0.00017624250969333803
NFT,ORG,1,0.00017624250969333803
NH,GPE,1,0.00017624250969333803
NH,ORG,3,0.0005287275290800141
NH AG,ORG,1,0.00017624250969333803
NH States,GPE,1,0.00017624250969333803
NIELSEN,NORP,1,0.00017624250969333803
NIH,ORG,2,0.00035248501938667606
NIKE,ORG,1,0.00017624250969333803
NJ,ORG,3,0.0005287275290800141
NKorea,ORG,1,0.00017624250969333803
NM,GPE,2,0.00035248501938667606
NON-HODGKIN'S,ORG,1,0.00017624250969333803
NOONAN,ORG,3,0.0005287275290800141
NOPEC,ORG,1,0.00017624250969333803
NORAD,ORG,1,0.00017624250969333803
NORWEGIAN,NORP,1,0.00017624250969333803
NUKE,ORG,2,0.00035248501938667606
NUKE DISASTER FEARS GROW,PERSON,1,0.00017624250969333803
NV,ORG,1,0.00017624250969333803
NV Dems,PERSON,1,0.00017624250969333803
NY,GPE,1,0.00017624250969333803
NY,ORG,16,0.0028198801550934085
NY AG,ORG,6,0.0010574550581600281
NY Supreme Court Orders NYC,ORG,1,0.00017624250969333803
NYC,GPE,3,0.0005287275290800141
NYC,LOC,15,0.0026436376454000705
NYC,MONEY,3,0.0005287275290800141
NYC,ORG,7,0.0012336975678533663
NYC Global Citizen,FAC,1,0.00017624250969333803
NYC MCDONALD'S,GPE,1,0.00017624250969333803
NYC Union Square,FAC,1,0.00017624250969333803
NYPOST 'Hacker' Breaks Silence,ORG,1,0.00017624250969333803
NYTIMES,ORG,2,0.00035248501938667606
NYU,ORG,1,0.00017624250969333803
Nagasaki,GPE,1,0.00017624250969333803
Nancy,PERSON,3,0.0005287275290800141
Naples,GPE,1,0.00017624250969333803
Narco,ORG,1,0.00017624250969333803
Nation's Center: Small,ORG,1,0.00017624250969333803
National Archives,ORG,2,0.00035248501938667606
National Guard,ORG,4,0.0007049700387733521
Nationalists,NORP,1,0.00017624250969333803
Native American,NORP,1,0.00017624250969333803
Nato,ORG,2,0.00035248501938667606
Navy,ORG,4,0.0007049700387733521
Navy Dolphins,ORG,1,0.00017624250969333803
Nazi,NORP,3,0.0005287275290800141
Nazis,NORP,2,0.00035248501938667606
Neanderthal,NORP,1,0.00017624250969333803
Need Money,PERSON,1,0.00017624250969333803
Neo-Nazis,ORG,1,0.00017624250969333803
Neom,GPE,2,0.00035248501938667606
Neptune,ORG,1,0.00017624250969333803
Netanyahu,PERSON,5,0.0008812125484666902
Netanyahu Gains,PERSON,1,0.00017624250969333803
Netanyahu Party Cancels Celebration Developing,ORG,1,0.00017624250969333803
Netanyahu Return,PERSON,1,0.00017624250969333803
Netherlands Deploys NATO's,ORG,1,0.00017624250969333803
Nevada,GPE,3,0.0005287275290800141
New Cancer Drug,ORG,1,0.00017624250969333803
New Covid,GPE,1,0.00017624250969333803
New England,LOC,3,0.0005287275290800141
New England Bargains,LOC,1,0.00017624250969333803
New European Political Party,ORG,1,0.00017624250969333803
New Hampshire,GPE,1,0.00017624250969333803
New Hampshire Libertarian Party,ORG,1,0.00017624250969333803
New Menace Stalking Suburbia,ORG,1,0.00017624250969333803
New Mexico,GPE,4,0.0007049700387733521
New Orleans,GPE,1,0.00017624250969333803
New Orleans America's,GPE,1,0.00017624250969333803
New Spielberg,GPE,1,0.00017624250969333803
New Weaponry,GPE,1,0.00017624250969333803
New World Order,ORG,1,0.00017624250969333803
New York,GPE,6,0.0010574550581600281
New York AG,ORG,1,0.00017624250969333803
New Yorkers,NORP,1,0.00017624250969333803
New Zealand,GPE,1,0.00017624250969333803
New Zealand,ORG,1,0.00017624250969333803
Newark,GPE,1,0.00017624250969333803
Newsom,ORG,1,0.00017624250969333803
Newsom Escalates,ORG,1,0.00017624250969333803
Next,ORG,1,0.00017624250969333803
Next Week,DATE,1,0.00017624250969333803
Next Year,DATE,1,0.00017624250969333803
Nicaragua,GPE,4,0.0007049700387733521
Nicaraguan,NORP,1,0.00017624250969333803
Nightclub,PERSON,1,0.00017624250969333803
Nixon,PERSON,1,0.00017624250969333803
Noem,ORG,1,0.00017624250969333803
Nord Stream,ORG,1,0.00017624250969333803
North Korea,GPE,1,0.00017624250969333803
Northwest,ORG,1,0.00017624250969333803
Norway,GPE,2,0.00035248501938667606
Nostradamus,PRODUCT,1,0.00017624250969333803
November,DATE,3,0.0005287275290800141
Nuke,ORG,3,0.0005287275290800141
Nuke Armageddon,PERSON,1,0.00017624250969333803
Nuke Attack,PERSON,1,0.00017624250969333803
Nuke Drill ',PERSON,1,0.00017624250969333803
Nuke Mayhem,PERSON,1,0.00017624250969333803
Nuke Plant,PERSON,1,0.00017624250969333803
O'Reilly,ORG,1,0.00017624250969333803
O'Rourke,ORG,1,0.00017624250969333803
O.C.,GPE,1,0.00017624250969333803
OATH KEEPER Rhodes,PERSON,1,0.00017624250969333803
OCTOBER,DATE,1,0.00017624250969333803
OH Dems,NORP,1,0.00017624250969333803
OH's Ryan Offers Potential Road Map for Dems Struggling in Rust Belt,ORG,1,0.00017624250969333803
ON CANNIBALISM ALLEGATIONS,ORG,1,0.00017624250969333803
ON EARNINGS COLLAPSE,ORG,1,0.00017624250969333803
ON HILL URGING,ORG,1,0.00017624250969333803
ON VENTILATOR,ORG,1,0.00017624250969333803
ONE,CARDINAL,2,0.00035248501938667606
ONLY 6 MILLION,CARDINAL,1,0.00017624250969333803
OPEC,ORG,4,0.0007049700387733521
OPERA,ORG,1,0.00017624250969333803
Oakland,GPE,1,0.00017624250969333803
Oakland Cops Hope,ORG,1,0.00017624250969333803
Oath Keeper,PERSON,2,0.00035248501938667606
Oath Keepers,PERSON,5,0.0008812125484666902
Obama,GPE,1,0.00017624250969333803
Obama,PERSON,10,0.0017624250969333803
Obamacare,ORG,1,0.00017624250969333803
Obamas,PERSON,1,0.00017624250969333803
Oct. 25,DATE,1,0.00017624250969333803
October,DATE,4,0.0007049700387733521
Oddest Pot Party,ORG,1,0.00017624250969333803
Odesa Defiant,PERSON,1,0.00017624250969333803
Off-Record Bank Event,ORG,1,0.00017624250969333803
Offensive,GPE,1,0.00017624250969333803
Ohio,GPE,14,0.0024673951357067326
Ohio Senate,ORG,1,0.00017624250969333803
Oklahoma,GPE,3,0.0005287275290800141
Olbermann,ORG,1,0.00017624250969333803
Older Fans Take Heart,WORK_OF_ART,1,0.00017624250969333803
Oldest Mafia Clans,ORG,1,0.00017624250969333803
Olivia Wilde,PERSON,1,0.00017624250969333803
Olivia Wilde Much Hyped Movie Causing Worries as,ORG,1,0.00017624250969333803
